PREFIXO: ;E3-066
NOME DO POSTO: ;GASPAR RICARDO
MUNICÍPIO: ;SAO VICENTE
CURSO D'ÁGUA: ;BRANCO/BRANCO DA CONCEICAO,R
LATITUDE: ;23°58'00"
LONGITUDE: ;46°30'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  07/1960;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0; 17,2;  7,8;  0,0;  0,0;  0,0;  0,0;  0,0;  1,4; 27,2;  5,2;  0,0;  0,0;  0,0; 48,4; 22,8;  0,0;  0,0;  0,0;0,0;0,0;0,0;48,4;131,0
  08/1960;  0,0;  1,0;  0,0;  0,0;  4,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,4; 24,0; 10,8;  1,2;  0,0;  3,2; 40,2;  5,6;  4,2;  0,0;  0,0;  0,0;  5,4; 19,3;  0,0;0,0;0,0;12,4;40,2;134,3
  09/1960; 16,2;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 22,4;  2,1;  0,0;  0,0;  2,0;  5,0;  1,2;  0,0;  0,0;  0,0;  5,2;  0,0;  0,0;  0,0;  0,0;  0,0;  8,4; 14,0; 20,0; 37,2;7,0;1,2;---;37,2;142,1
  10/1960;  0,2;  0,2;  0,9;  3,2;  0,0;  0,0;  0,0;  2,0;  9,8;  8,4;  1,0;  1,8;  8,4;  0,0;  0,0; 27,2;  7,4;  1,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,0; 49,0; 11,0; 39,0;6,0;0,0;1,2;49,0;187,1
  11/1960;  1,5;  1,0;  0,0;  0,0;  0,0; 12,5;  6,0; 20,0;  4,5;  1,5;  5,6;  1,0;  6,2;  7,2; 10,3;  2,3;  1,2;  0,0;  0,0;  1,0; 49,3; 24,3;  1,0;  0,0;  0,0;  1,0;  0,0;  2,0;3,5;2,0;---;49,3;164,9
  12/1960;  0,4;  0,0;  7,0;  0,0;  0,0;  0,0; 31,2;  7,0;  0,0;  0,0;  0,4;  0,7;  0,0;  0,0;  0,0;  0,0;  1,2; 38,8; 59,2;  1,2; 18,2; 17,4;  0,0;  3,0;  4,8; 10,9; 10,1;  8,2;0,0;100,3;62,6;100,3;382,6
  01/1961; 29,5;  1,5; 28,6;  0,0;  7,3; 13,5;  1,2; 18,7; 31,0; 20,6;  1,3;  3,7;  3,0;  0,0;  0,0;  1,4;  1,8;  0,0; 28,5;  0,0;  1,1;  0,0; 29,0;160,4; 47,1; 14,0; 56,9; 29,3;63,1;19,0;2,4;160,4;613,9
  02/1961;  0,0;  0,0;  0,0;  5,2;  0,3;  0,2;  5,2;  0,0;  0,0; 95,3;  1,5; 10,7;  3,2;  0,0;  0,7;  5,2;  9,3;  2,2;  4,8; 23,2;  0,2;  0,0;  5,1;  0,0;  0,0;  0,0;  0,0;131,1;---;---;---;131,1;303,4
  03/1961; 14,2;  0,0;  0,0;  0,0;  0,0; 36,2; 44,4;  5,2;  0,0;  0,0;  0,2;  2,2;  0,0; 23,2; 12,2;  2,0;  8,2; 10,2; 18,0;  2,0;  0,0;  2,6;  0,0;  0,0;  0,0; 48,2; 30,4; 11,6;2,8;0,8;0,0;48,2;274,6
  04/1961;  0,0;  0,0;  0,0;  0,0;  6,0; 74,0; 73,0; 20,0;  0,0;  7,0;  0,0;  0,0;  0,0;  0,0;  7,0;  0,0;  0,0;  0,0; 66,0; 57,1;  5,0;  0,0;  0,0; 20,1;  0,1; 28,0;  0,0;  0,0;0,0;0,0;---;74,0;363,3
