PREFIXO: ;E3-065
NOME DO POSTO: ;GASPAR RICARDO (EFS)
MUNICÍPIO: ;SAO VICENTE
CURSO D'ÁGUA: ;BRANCO/BRANCO DA CONCEICAO,R
LATITUDE: ;23°58'00"
LONGITUDE: ;46°30'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  04/1942;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,4;  0,2;  0,4;  0,2;  6,5;  2,3;  0,0;  0,6;  8,0;  4,3;  0,0;  0,0;  0,0;  0,0;  0,0; 39,0;  0,0; 26,3; 90,6;  0,0;  0,0;  0,0;0,0;0,0;---;90,6;179,2
  05/1942;  0,0;  0,0;  0,0;  0,0;  0,4;  0,2;  0,2;  0,2;  0,2;  0,2;  0,2;  0,2;  0,2;  0,4;  0,2;  0,2;  0,2;  0,2;  0,2;  0,2;  0,2;  0,2;  0,2;  0,2;  0,2;  0,2;  0,2;  0,0;0,2;0,0;0,2;0,4;5,4
  06/1942;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  0,2;  0,2;  0,2;  0,2;  0,2;  0,0;  0,0;  0,2;  0,2;  0,2;  0,2;  0,2;  0,2;  0,2;  0,2;  0,0;  0,2;  0,2;  0,2;  0,2;  0,0;0,2;0,2;---;0,2;4,2
  01/1943;  0,2;  0,2;  0,2;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;  2,0;  5,2;  1,0;  1,0;  0,0;  6,3;  0,0;  4,3;  2,2;0,0;8,2;5,4;---;---
  02/1943; 72,4; 41,5; 42,6; 23,7;  0,0;  0,0;  0,0;  0,0;  0,0;  2,3;  2,1;  0,0;  0,0;  1,0;  2,3; 21,5;  2,3; 41,3;  1,2;  0,0;  1,0; 15,2;  8,3;  0,1; 18,5;  9,2; 18,4; 41,4;---;---;---;72,4;366,3
  03/1943;  0,0;  0,0;  1,2;  0,0;  1,2;  0,0; 27,4;  5,3;  0,0;  1,2;  2,3;  4,1;  5,2; 18,1; 70,0;  0,0;  0,0;  1,1;  0,0;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0;  0,0;8,3;18,4;27,6;70,0;193,4
  04/1943;  8,4;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0;  0,0; 45,4;  1,2;  0,0;  0,0;  0,0;  6,3;  8,2; 48,2;  1,0;  4,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 20,0;  0,0;18,3;0,0;---;48,2;163,1
  05/1943;  0,0;  9,2; 18,0; 18,2;  0,0;  0,0;  0,0; 27,5;  9,4; 36,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,2; 18,3;  0,0;  0,0;  0,0;  0,0;0,0;10,5;43,2;43,2;195,7
  06/1943; 27,4; 18,3;  0,0;  0,0; 18,4;  0,0; 10,4;  0,0; 47,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 31,4; 45,3;  0,6;  0,0;  0,0; 12,0; 14,0;  9,0;  0,0;  0,0;0,0;2,0;---;47,2;236,0
  07/1943;  0,0;  0,0;  0,0;  0,0;  0,0;  5,1; 18,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,0;  4,0;  9,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;18,4;46,7
