PREFIXO: ;E3-062
NOME DO POSTO: ;ENGENHEIRO FERRAZ (EFS)
MUNICÍPIO: ;SAO VICENTE
CURSO D'ÁGUA: ;CAPIVARI,R (07 - BAIXADA SANTISTA)
LATITUDE: ;23°59'00"
LONGITUDE: ;46°37'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  03/1943;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6;  0,0;  0,7;  0,0;  0,0;  0,0;  4,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,2;  0,0;0,0;0,0;0,0;10,2;15,5
  04/1943;  0,0;  0,0;  0,0;  0,0; 37,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 27,0;  6,0; 13,0; 22,0;  2,0;  0,5;  0,0;  0,0;  0,0;  1,3;  0,0;  0,0;  3,0;  0,0;36,1;0,0;---;37,7;148,6
  05/1943; 20,5; 50,2;  0,0;  0,0;  0,0;  0,0;  0,0; 10,6;  0,0; 30,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0; 10,1;  3,0;  0,0;  0,0;  0,0;0,0;0,0;20,0;50,2;149,9
  08/1943;  0,0;  6,4; 70,0; 21,0;  2,4; 40,0;  3,8;  3,8;  0,0;  0,0;  0,0; 16,0;  0,0;  0,0; 18,0;  4,5;  0,0;  0,0;  0,0;  0,0;  0,0; 61,3; 42,1; 16,0; 15,0;  1,0;  0,0;  0,0;0,0;0,0;0,0;70,0;321,3
  09/1943;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 37,0; 20,0;  1,0;  0,0;  0,0;  1,2;  0,2;  0,1; 11,6; 69,9; 37,1; 15,6; 30,0;  6,0;  7,0;0,0;0,0;---;69,9;236,7
  10/1943;  0,0;  0,0;  0,0;  1,4; 18,0;  8,4;  0,0;  0,0;  0,0;  4,0; 16,0; 71,2; 10,7;  6,0; 21,3; 43,6; 38,2; 19,0;  0,0;  0,0;  0,0;  7,0;  6,0; 31,0;  7,0;  2,0;  3,4; 68,0;74,5;45,5;48,4;74,5;550,6
  11/1943;  5,0;  0,0; 25,0;  0,0;  0,0; 10,0;  2,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0;  0,0;  6,0;  3,0;  0,0;  0,0;  0,0;  2,0;  0,0;  0,0;  1,0;  0,0;  0,0;0,0;0,0;---;25,0;59,0
  12/1943;  2,3; 14,2;  6,0;  3,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,0; 10,0;  0,0; 13,0; 13,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;6,0;15,0;15,0;86,5
  01/1944; 10,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 20,0;100,0;  0,0;  8,0;  0,0;  5,0; 40,0;  0,0; 14,0;  0,0;  1,0;  0,0;  0,0;  0,0; 30,0; 26,0;  0,0;  0,0;0,0;0,0;20,0;100,0;274,1
  02/1944; 20,0; 16,0; 52,0; 39,0;  7,0;  7,5;115,5;  1,0;  5,2; 51,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;140,0;145,0; 36,0; 13,0; 20,0;  1,5;  3,5; 38,0;  0,0; 50,0;171,0;21,0;---;---;171,0;953,3
  03/1944;  0,0; 10,0;  0,0; 25,7;  2,5;  4,5; 12,1;  1,0;  1,8; 16,5;  0,0; 29,0;135,6;  0,0;  0,6;  3,0;  6,0; 38,1;  4,1; 28,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;135,6;318,5
  04/1944;  0,0; 27,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 18,0; 24,0;  0,0;  0,7;  0,0; 54,0; 32,0; 31,0; 35,7; 38,0;120,0; 35,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;120,0;415,4
  05/1944;  0,0;  0,0;  0,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 80,0;  0,0;  0,0;  0,0;  0,0; 20,0;  0,0;  0,0;0,0;0,0;0,0;80,0;100,7
