PREFIXO: ;E3-228
NOME DO POSTO: ;HUMAITA
MUNICÍPIO: ;SAO VICENTE
CURSO D'ÁGUA: ;MARIANA,R
LATITUDE: ;23°57'16"
LONGITUDE: ;46°27'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  04/1944;  0,0; 49,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,0; 42,2; 15,0;  0,9;  0,0; 26,0; 30,0; 40,3;  3,2; 80,5; 30,0;  3,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;80,5;329,6
  05/1944;  0,0;  0,0;  0,0;  0,0;  7,5;  0,0;  0,0;  0,0;  0,0;  0,0; 18,7; 41,3; 10,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 11,0;  0,0;  0,0;  0,0;  0,5;  7,0;  0,0;  0,0;0,0;0,0;0,0;41,3;96,8
  06/1944;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 80,7; 13,5;0,0;0,0;---;80,7;102,4
  07/1944;  0,0;  0,0;  0,0;  0,0;  0,0; 10,0; 28,0;  0,0;  0,0;  1,9; 31,8;  8,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 13,6; 29,5; 30,0;  0,3;  0,0;  0,0;0,0;0,0;0,0;31,8;153,2
  08/1944;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 16,0;  4,2;  1,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;16,0;21,4
  09/1944;  0,0;  5,1;  0,0;  2,5;  0,0;  0,0;  5,0; 17,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,5;  0,0;  0,0;0,0;0,0;---;17,5;34,0
  10/1944;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0;  4,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,3;  0,0;  0,0;  0,0;  0,0;  0,0; 26,4; 44,2;  0,0;14,0;0,0;0,0;44,2;99,2
  11/1944;  4,4;  0,0;  0,0;  0,0;  0,0;  0,0; 12,5; 87,5; 53,7;  0,0;  0,0;  0,0;  0,0;  4,3; 29,5;  0,0;  0,0;  0,0;  0,0;  0,0;  4,9;  0,0;  0,0; 54,0;  6,0; 11,0; 23,3;  7,3;0,0;0,0;---;87,5;298,4
  12/1944;  0,0;  0,7; 23,0; 11,4;  3,0;  1,5;  0,0;  0,0;  0,0;  2,1;  5,1;  0,0;  0,0;  0,0;  0,0;  0,0; 10,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,7; 70,0;  0,0; 21,7;  2,0; 12,5;0,0;0,0;0,0;70,0;163,9
  01/1945;  0,0; 15,8;  0,0;  0,0;  0,0;  0,4;  2,5; 13,3;  0,0;  0,0;  0,0;  7,3; 28,0; 11,7;  0,0;  0,0;  2,6;  0,0;  0,0; 15,7;  0,3; 17,0; 11,2;  4,8;  0,0;  0,0;  0,0;  0,0;0,0;0,0;40,5;40,5;171,1
